reader,prompt_version,tag,label,sheet,id,filename,img_sha16,photo_type,item_on_scale,display_text,has_decimal,display_legible,display_unit_shown,package_text,package_qty,package_unit,notes
sonnet_c01,v1.0,sweep_c1,0001,sheet_001.jpg,1292,1777336193068.jpg,4b0242509d7af59d,item_no_scale,,,,not_visible,none_shown,,,,Emperador Light Brandy bottle held; small print on label not confidently legible
sonnet_c01,v1.0,sweep_c1,0002,sheet_001.jpg,2094,1776834379861.jpg,e205d744fa25193b,item_no_scale,,,,not_visible,none_shown,375 mL,375.0,mL,Tanduay Rhum Light bottle
sonnet_c01,v1.0,sweep_c1,0003,sheet_001.jpg,1647,1779069081293.jpg,73998d42b09c03f1,item_no_scale,,,,not_visible,none_shown,375 mL,375.0,mL,Tanduay Rhum Dark label close-up
sonnet_c01,v1.0,sweep_c1,0004,sheet_001.jpg,9238,1774315985818.jpg,697a3885bae8ec8e,item_no_scale,,,,not_visible,none_shown,375 mL,375.0,mL,
sonnet_c01,v1.0,sweep_c1,0005,sheet_002.jpg,383,1777347101481.jpg,4dc7556ff7787061,label_closeup,,,,not_visible,none_shown,NET WT. 3.17 oz (90g),90.0,g,also printed as 3.17 oz; Chicharron ni Mang Juan
sonnet_c01,v1.0,sweep_c1,0006,sheet_002.jpg,8985,1773970909551.jpg,7bb7dea508e6332e,item_no_scale,,,,not_visible,none_shown,375 mL,375.0,mL,multiple bottles on shelf
sonnet_c01,v1.0,sweep_c1,0007,sheet_002.jpg,2912,1776736487467.jpg,d69acc79c2f3dc2e,item_no_scale,,,,not_visible,none_shown,,,,"Gatorade Blue Bolt bottle, mostly obscured by hand, volume text not visible"
sonnet_c01,v1.0,sweep_c1,0008,sheet_002.jpg,4484,1776215259367.jpg,0810d21c365c4e94,label_closeup,,,,not_visible,none_shown,,,,"Selecta Chocolate Ice Cream in a Cup, top view; no net weight/volume visible in this crop"
sonnet_c01,v1.0,sweep_c1,0009,sheet_003.jpg,5257,1775876358732.jpg,8509a7688facd44b,item_no_scale,,,,not_visible,none_shown,375 mL,375.0,mL,standing on rice sack
sonnet_c01,v1.0,sweep_c1,0010,sheet_003.jpg,5390,1774580005412.jpg,67444c93381092c1,item_no_scale,,,,not_visible,none_shown,,,,volume area covered by price sticker
sonnet_c01,v1.0,sweep_c1,0011,sheet_003.jpg,6362,1774501640248.jpg,19abff58f5645c70,item_no_scale,,,,not_visible,none_shown,,,,larger-format bottles lying down; volume text not confidently legible
sonnet_c01,v1.0,sweep_c1,0012,sheet_003.jpg,363,1777352442145.jpg,b7ca822c23e44d67,other,,,,not_visible,none_shown,10 X 31g packs (Net Wt. 310g),310.0,g,"multiple items in frame (Coca-Cola, Mega, Royal, Rebisco, Nescafe); reading legible tag on Rebisco Butter Sandwich package"
sonnet_c01,v1.0,sweep_c1,0013,sheet_004.jpg,2819,1776392322850.jpg,01f72a9d106a71b9,item_no_scale,,,,not_visible,none_shown,375 mL,375.0,mL,among Lady's Choice and Best Foods products
sonnet_c01,v1.0,sweep_c1,0014,sheet_004.jpg,7961,1778900270449.jpg,57dc45b1310c1a59,item_no_scale,,,,not_visible,none_shown,375 mL,375.0,mL,
sonnet_c01,v1.0,sweep_c1,0015,sheet_004.jpg,3941,1775706080998.jpg,20203020bf143f46,label_closeup,,,,not_visible,none_shown,,,,"Net Wt. printed on Angelina Super Loaf bag but digits not clearly legible, folded packaging"
