id,check,tier,priority,reason,has_photo,filename,photo_path,obs_type,pull_province,pull_municipal_city,market_name,store_stall_name,vendor_id,pull_item,pull_nsu_unit,rawtick,raw_weight,dim,corrected_weight,snap_rule,flat_group,nobs,nven,is_rep,queue_flag,queue_tier,already
40,1,must,1,"4A flat group: 3+ vendors, one value",1,1778471382101.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778471382101.jpg,medium_size,AKLAN,ALTAVAS,Poblacion Altavas Talipapa,Murayan Corner,6VIPFDEN,"Liquor (e.g, whisky, coconut wine)",Lipid / Lapad,,,,,,17,3,3,1,,,1
41,1,must,2,4B liquid ticked as a mass,1,1778469570765.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778469570765.jpg,medium_size,AKLAN,ALTAVAS,Gen.St.Poblacion Altavas Roadside,Czen Gaming and Cafe,VT42IAOO,"Liquor (e.g, whisky, coconut wine)",Lipid / Lapad,,,,,,,,,,,,1
42,1,must,2,4B liquid ticked as a mass,1,1778472655168.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778472655168.jpg,medium_size,AKLAN,ALTAVAS,Altavas Public Market,MJ Store,XD7YOLJL,"Liquor (e.g, whisky, coconut wine)",Lipid / Lapad,,,,,,,,,,,,1
43,1,must,1,4B dual-ticked case,1,1778468487334.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778468487334.jpg,municipality_median,AKLAN,ALTAVAS,Gen.Luna St.Poblacion Altavas Roadside,Altavas Sari Sari Store,7SAKMTHU,"Liquor (e.g, whisky, coconut wine)",Long-neck,,,,,,,,,,,,0
44,1,must,1,4B dual-ticked case,1,1778470575472.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778470575472.jpg,municipality_median,AKLAN,ALTAVAS,Poblacion Altavas Roadside,Gonzales Store,DOBJS7LZ,"Liquor (e.g, whisky, coconut wine)",Long-neck,,,,,,,,,,,,1
45,1,must,1,4B dual-ticked case,1,1778471435461.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778471435461.jpg,municipality_median,AKLAN,ALTAVAS,Poblacion Altavas Talipapa,Murayan Corner,G3JEYN17,"Liquor (e.g, whisky, coconut wine)",Long-neck,,,,,,,,,,,,1
46,1,must,1,4B dual-ticked case,1,1778472603675.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778472603675.jpg,municipality_median,AKLAN,ALTAVAS,Altavas Public Market,MJ Store,GHU5XB4P,"Liquor (e.g, whisky, coconut wine)",Long-neck,,,,,,,,,,,,1
47,1,must,1,"4A flat group: 3+ vendors, one value",1,1778472819537.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778472819537.jpg,large_size,AKLAN,ALTAVAS,Altavas Public Market,MJ Store,6FFCCIM3,Loaf Bread,Large,,,,,,18,4,4,1,,,0
48,1,must,3,"4A flat group: 3+ vendors, one value",1,1778468603208.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778468603208.jpg,large_size,AKLAN,ALTAVAS,Poblacion Altavas Roadside,Altavas Sari Sari Store,LEZTKK62,Loaf Bread,Large,,,,,,18,4,4,0,,,0
49,1,must,3,"4A flat group: 3+ vendors, one value",1,1778471970936.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778471970936.jpg,large_size,AKLAN,ALTAVAS,Poblacion Altavas Talipapa,Murayan Corner,ME7SHSCX,Loaf Bread,Large,,,,,,18,4,4,0,,,0
