"row id; same id space as hh_row in psps_households.dta","household identifier","PSPS item code","acquisition slot: 2 purchased, 3 own production, 4 gift","acquisition route: purchased, own_production, or gift","province","municipality","food item","unit as the household reported it","harmonized market-survey unit; blank where none applies","quantity reported, in the unit named by pull_nsu_unit","implied unit value, PHP per unit; all acquisition modes (A10)","grams (or mL) per unit for this household's row","q_h * cf_h; total grams for this row; missing if not converted","20a conversion path: 1 standard unit, 2 NSU, 3 not an NSU","how this row got its grams, or why it did not","1 = this row has a gram figure","0 matched or standard-unit; 1-3 a borrowed rung; missing if unconverted","1 = the household price ratio was clamped to t=5 (conv_path 2 only)","1 = no computable unit value on this row (e_h or q_h absent)","weighings behind cf_h, at the level used; missing off conv_path 2","1 = fewer than 3 weighings behind the estimate; treat as uncertain","hetero-blind: grams in one unit of this NSU, cell pooled across hetero-groups","hetero-blind: q_h * cf_h_blind -- the no-price-matching counterfactual","hetero-blind: dimension of cf_h_blind (1 = g, 2 = mL)","hetero-blind rung: 1 cell pooled, 2 province, 3 regional (never 0)","hetero-blind: how this row got its grams, or why it did not","hetero-blind: weighings behind cf_h_blind","1 = the hetero-blind ladder produced grams for this row"
63,H000010,meat_2,2,purchased,NEGROS OCCIDENTAL,SAN ENRIQUE,pork,grams (g),,300,.3333333333333333,1,300,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
64,H000010,meat_3,2,purchased,NEGROS OCCIDENTAL,SAN ENRIQUE,chicken,grams (g),,500,.2,1,500,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
65,H000010,meat_4,2,purchased,NEGROS OCCIDENTAL,SAN ENRIQUE,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,putos,1,38,186.2,186.2,NSU via market survey,matched price point,1,the cell's own weighings,0,0,4,0,277.5,277.5,1,1,blind: cell pooled,8,1
66,H000010,sweet_1,2,purchased,NEGROS OCCIDENTAL,SAN ENRIQUE,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",gamay nga cup,small cup,4,20,72.72727272727272,290.9090909090909,NSU via market survey,matched price point,1,the cell's own weighings,0,0,3,0,100,400,2,1,blind: cell pooled,4,1
67,H000010,veg_1,2,purchased,NEGROS OCCIDENTAL,SAN ENRIQUE,cabbage,bilog,pieces or units,1,40,782.8571428571429,782.8571428571429,NSU via market survey,matched price point,1,the cell's own weighings,0,0,18,0,685,685,1,1,blind: cell pooled,18,1
68,H000010,veg_3,3,own_production,NEGROS OCCIDENTAL,SAN ENRIQUE,camote tops,bugkos,bugkos,1,20,395,395,NSU via market survey,matched price point,1,the cell's own weighings,0,0,15,0,395,395,1,1,blind: cell pooled,15,1
69,H000010,veg_4,2,purchased,NEGROS OCCIDENTAL,SAN ENRIQUE,camote,bilog,bilog,2,10,191.3614260390244,382.7228520780487,NSU via market survey,matched price point,1,the cell's own weighings,0,0,6,0,185,370,1,1,blind: cell pooled,6,1
70,H000011,bev_1,2,purchased,CAPIZ,PANAY,"mineral or spring water, all drinking water sold in containers",5-gallon blue container,,2,25,18927.1,37854.2,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
71,H000011,fish_1,2,purchased,CAPIZ,PANAY,fresh fish,kilograms (kg),,4,100,1000,4000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
72,H000011,grain_1,2,purchased,CAPIZ,PANAY,rice,gantang,,3,135,2250,6750,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
73,H000011,veg_3,4,gift,CAPIZ,PANAY,camote tops,bugkos,bugkos,1,10,241.0284459618387,241.0284459618387,NSU via market survey,matched price point,1,the cell's own weighings,0,0,5,0,205,205,1,1,blind: cell pooled,5,1
74,H000012,fish_1,2,purchased,ILOILO,ESTANCIA,fresh fish,kilograms (kg),,2,180,1000,2000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
75,H000012,fish_2,2,purchased,ILOILO,ESTANCIA,"prawns, lobster, shrimp",grams (g),,500,.2,1,500,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
76,H000012,grain_1,2,purchased,ILOILO,ESTANCIA,rice,gantang,,4,130,2250,9000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
77,H000012,meat_3,2,purchased,ILOILO,ESTANCIA,chicken,kilograms (kg),,1,200,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
78,H000012,veg_1,2,purchased,ILOILO,ESTANCIA,cabbage,bilog,pieces or units,1,30,416.6666666666667,416.6666666666667,NSU via market survey,matched price point,1,the cell's own weighings,0,0,12,0,625,625,1,1,blind: cell pooled,12,1
79,H000012,veg_2,2,purchased,ILOILO,ESTANCIA,carrot,bilog,pieces or units,1,25,109.0909090909091,109.0909090909091,NSU via market survey,matched price point,1,the cell's own weighings,0,0,11,0,120,120,1,1,blind: cell pooled,11,1
80,H000012,veg_3,3,own_production,ILOILO,ESTANCIA,camote tops,bugkos,bugkos,1,10,158.75,158.75,NSU via market survey,matched price point,1,the cell's own weighings,0,0,10,0,317.5,317.5,1,1,blind: cell pooled,10,1
81,H000012,veg_4,2,purchased,ILOILO,ESTANCIA,camote,kilograms (kg),,1,50,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
